Date : 2020-01-18 21:00:09
Directory : c:\Users\jajohnson\gc3_emulator
Total : 116 files,  34855 codes, 164 comments, 2259 blanks, all 37278 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| c:\Users\jajohnson\gc3_emulator\src\screen\NetworkSettingsAccessPoint.js                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\NetworkSettingsWireless.js                          | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\NetworkSettingsWirelessKey.js                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\NetworkSettingsWirelessSetup.js                     | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\NetworkTest.js                                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\RadioStatus.js                                      | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\RestoreDefaults.js                                  | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\ScreenSaver.js                                      | JavaScript |        154 |          0 |          8 |        162 |
| c:\Users\jajohnson\gc3_emulator\src\screen\ScreenSaver1.js                                     | JavaScript |         64 |          0 |          7 |         71 |
| c:\Users\jajohnson\gc3_emulator\src\screen\ScreenSettings.js                                   | JavaScript |         41 |          0 |         14 |         55 |
| c:\Users\jajohnson\gc3_emulator\src\screen\ScreenSettingsScreenSaver.js                        | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SensorChimes.js                                     | JavaScript |         41 |          0 |         14 |         55 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartAreaSettingsEditName.js                        | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartAreasCode.js                                   | JavaScript |         14 |          0 |          2 |         16 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartAreasControls.js                               | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartAreasSettings.js                               | JavaScript |         41 |          0 |         14 |         55 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControls.js                                | JavaScript |        106 |          0 |         25 |        131 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsGarageDoors.js                     | JavaScript |         58 |          0 |         16 |         74 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsLights.js                          | JavaScript |         58 |          0 |         16 |         74 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsLocks.js                           | JavaScript |         58 |          0 |         16 |         74 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsRooms.js                           | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsRoomsEditRoom.js                   | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsRoomsEditRoomName.js               | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsRoomsNewName.js                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsScenes.js                          | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsScenesEditScene.js                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsScenesEditSceneName.js             | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsScenesNewName.js                   | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsThermostats.js                     | JavaScript |         58 |          0 |         16 |         74 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettings.js                                | JavaScript |        236 |          0 |         57 |        293 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsAddDevice.js                       | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsAdvancedSettings.js                | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsAdvancedSettingsControllerLearn.js | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsAdvancedSettingsResetController.js | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsCheckNetwork.js                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsDeviceAssociation.js               | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsDeviceAssociationManage.js         | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsRediscoverNetwork.js               | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsRemoveDevice.js                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsViewAll.js                         | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsViewAllEditName.js                 | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SoundsSettings.js                                   | JavaScript |         41 |          0 |         14 |         55 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfiguration.js                              | JavaScript |         94 |          0 |         21 |        115 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationImageSensors.js                  | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationKeyfobs.js                       | JavaScript |      1,539 |          1 |         55 |      1,595 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationKeyfobsEditKeyfob.js             | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationKeypads.js                       | JavaScript |      1,392 |          1 |         46 |      1,439 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationKeypadsEditKeypad.js             | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationPanelProgramming.js              | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationWiredZones.js                    | JavaScript |      1,668 |          1 |         58 |      1,727 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationWiredZonesEditZone.js            | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationWirelessZones.js                 | JavaScript |      2,278 |          1 |         61 |      2,340 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationWirelessZonesEditZone.js         | JavaScript |      4,295 |         91 |        272 |      4,658 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfo.js                                       | JavaScript |         82 |          0 |         20 |        102 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfoDealerInfo.js                             | JavaScript |         79 |          0 |         25 |        104 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfoHistory.js                                | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfoLicenseInfo.js                            | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemInfoSystemInfo.js                             | JavaScript |        115 |          0 |         29 |        144 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemPairing.js                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemSettingsCode.js                               | JavaScript |        163 |          0 |         37 |        200 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemSettingsInstallerMenu.js                      | JavaScript |        234 |          0 |         53 |        287 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemSettingsMenu.js                               | JavaScript |        237 |          0 |         54 |        291 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemTests.js                                      | JavaScript |         41 |          0 |         14 |         55 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemTestsConsoleTest.js                           | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\SystemTestsSensorTest.js                            | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\Users.js                                            | JavaScript |        217 |          1 |         88 |        306 |
| c:\Users\jajohnson\gc3_emulator\src\screen\UsersEditCode.js                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\UsersEditCodeVerify.js                              | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\UsersEditName.js                                    | JavaScript |          0 |          0 |          1 |          1 |
| c:\Users\jajohnson\gc3_emulator\src\screen\UsersEditUser.js                                    | JavaScript |        103 |          0 |         33 |        136 |
| c:\Users\jajohnson\gc3_emulator\src\screen\UsersNewCode.js                                     | JavaScript |         81 |          0 |         17 |         98 |
| c:\Users\jajohnson\gc3_emulator\src\screen\UsersNewCodeVerify.js                               | JavaScript |         67 |          0 |         13 |         80 |
| c:\Users\jajohnson\gc3_emulator\src\screen\UsersNewName.js                                     | JavaScript |        534 |          0 |         78 |        612 |
| c:\Users\jajohnson\gc3_emulator\src\screen\WorkInProgress.js                                   | JavaScript |         23 |          0 |          4 |         27 |
| c:\Users\jajohnson\gc3_emulator\src\screen\WorkInProgressHack.js                               | JavaScript |         24 |          0 |          4 |         28 |
| Total                                                                                          |            |     34,855 |        164 |      2,259 |     37,278 |
+------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
