filename, language, Markdown, JSON, JavaScript, CSS, XML, HTML, comment, blank, total
c:\Users\jajohnson\gc3_emulator\src\screen\ScreenSaver.js, JavaScript, 0, 0, 154, 0, 0, 0, 0, 8, 162
c:\Users\jajohnson\gc3_emulator\src\screen\ScreenSaver1.js, JavaScript, 0, 0, 64, 0, 0, 0, 0, 7, 71
c:\Users\jajohnson\gc3_emulator\src\screen\ScreenSettings.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 14, 55
c:\Users\jajohnson\gc3_emulator\src\screen\ScreenSettingsScreenSaver.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SensorChimes.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 14, 55
c:\Users\jajohnson\gc3_emulator\src\screen\SmartAreaSettingsEditName.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartAreasCode.js, JavaScript, 0, 0, 14, 0, 0, 0, 0, 2, 16
c:\Users\jajohnson\gc3_emulator\src\screen\SmartAreasControls.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartAreasSettings.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 14, 55
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControls.js, JavaScript, 0, 0, 106, 0, 0, 0, 0, 25, 131
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsGarageDoors.js, JavaScript, 0, 0, 58, 0, 0, 0, 0, 16, 74
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsLights.js, JavaScript, 0, 0, 58, 0, 0, 0, 0, 16, 74
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsLocks.js, JavaScript, 0, 0, 58, 0, 0, 0, 0, 16, 74
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsRooms.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsRoomsEditRoom.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsRoomsEditRoomName.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsRoomsNewName.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsScenes.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsScenesEditScene.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsScenesEditSceneName.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsScenesNewName.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeControlsThermostats.js, JavaScript, 0, 0, 58, 0, 0, 0, 0, 16, 74
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettings.js, JavaScript, 0, 0, 236, 0, 0, 0, 0, 57, 293
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsAddDevice.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsAdvancedSettings.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsAdvancedSettingsControllerLearn.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsAdvancedSettingsResetController.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsCheckNetwork.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsDeviceAssociation.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsDeviceAssociationManage.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsRediscoverNetwork.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsRemoveDevice.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsViewAll.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SmartHomeSettingsViewAllEditName.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SoundsSettings.js, JavaScript, 0, 0, 41, 0, 0, 0, 0, 14, 55
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfiguration.js, JavaScript, 0, 0, 94, 0, 0, 0, 0, 21, 115
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationImageSensors.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationKeyfobs.js, JavaScript, 0, 0, 1539, 0, 0, 0, 1, 55, 1595
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationKeyfobsEditKeyfob.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationKeypads.js, JavaScript, 0, 0, 1392, 0, 0, 0, 1, 46, 1439
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationKeypadsEditKeypad.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
c:\Users\jajohnson\gc3_emulator\src\screen\SystemConfigurationPanelProgramming.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 1, 1
